class,sympotems,remed,causes
التهابات المسالك البولية,التهاب المسالك البولية السفلي,سيفكسين (كيفلكس) ٢٥٠ مجم مرتين أو أربع مرات يوميًا الاريثروميسين ٢٥٠ إلى ٥٠٠ مجم أربع مرات يوميًانيتروفيورانتوين (ماكرودانتين) ٥٠إلى١٠٠مجم أربع مرات يوميًا حمض أموكسيسيلين-كلافولانيك (زيادة) ٢٥٠ ملغ أربع مرات يومياًفوسفوميسين (مونورول) كيس واحد ٣ غ مع شرب الكثير من الماء ,تقدم العمر اوانخفاض الحركة بعد الجراحة أو الراحة في الفراش لفترات طويلة
التهابات المسالك البولية,الحرق مع التبول,سيفكسين (كيفلكس) ٢٥٠ مجم مرتين أو أربع مرات يوميًا الاريثروميسين ٢٥٠ إلى ٥٠٠ مجم أربع مرات يوميًانيتروفيورانتوين (ماكرودانتين) ٥٠إلى١٠٠مجم أربع مرات يوميًا حمض أموكسيسيلين-كلافولانيك (زيادة) ٢٥٠ ملغ أربع مرات يومياًفوسفوميسين (مونورول) كيس واحد ٣ غ مع شرب الكثير من الماء ,حصى الكلى او تضخم البروستاتا
التهابات المسالك البولية,زيادة سرعة التبول,سيفكسين (كيفلكس) ٢٥٠ مجم مرتين أو أربع مرات يوميًا الاريثروميسين ٢٥٠ إلى ٥٠٠ مجم أربع مرات يوميًانيتروفيورانتوين (ماكرودانتين) ٥٠إلى١٠٠مجم أربع مرات يوميًا حمض أموكسيسيلين-كلافولانيك (زيادة) ٢٥٠ ملغ أربع مرات يومياًفوسفوميسين (مونورول) كيس واحد ٣ غ مع شرب الكثير من الماء , زيادة تواتر التبول دون التبول بكثرة
التهابات المسالك البولية,بول دموي بول غائم,سيفكسين (كيفلكس) ٢٥٠ مجم مرتين أو أربع مرات يوميًا الاريثروميسين ٢٥٠ إلى ٥٠٠ مجم أربع مرات يوميًانيتروفيورانتوين (ماكرودانتين) ٥٠إلى١٠٠مجم أربع مرات يوميًا حمض أموكسيسيلين-كلافولانيك (زيادة) ٢٥٠ ملغ أربع مرات يومياًفوسفوميسين (مونورول) كيس واحد ٣ غ مع شرب الكثير من الماء ,التهاب المسالك البولية سابقاً او أو انسداد المسالك البولية
التهابات المسالك البولية,بول يشبه الكولا أو الشاي,سيفكسين (كيفلكس) ٢٥٠ مجم مرتين أو أربع مرات يوميًا الاريثروميسين ٢٥٠ إلى ٥٠٠ مجم أربع مرات يوميًانيتروفيورانتوين (ماكرودانتين) ٥٠إلى١٠٠مجم أربع مرات يوميًا حمض أموكسيسيلين-كلافولانيك (زيادة) ٢٥٠ ملغ أربع مرات يومياًفوسفوميسين (مونورول) كيس واحد ٣ غ مع شرب الكثير من الماء ,تضخم البروستاتا  حصوات الكلى  وبعض أشكال السرطان
التهابات المسالك البولية,الألم والحنان في الجزء العلوي من الظهر والجوانب,سيفكسين (كيفلكس) ٢٥٠ مجم مرتين أو أربع مرات يوميًا الاريثروميسين ٢٥٠ إلى ٥٠٠ مجم أربع مرات يوميًانيتروفيورانتوين (ماكرودانتين) ٥٠إلى١٠٠مجم أربع مرات يوميًا حمض أموكسيسيلين-كلافولانيك (زيادة) ٢٥٠ ملغ أربع مرات يومياًفوسفوميسين (مونورول) كيس واحد ٣ غ مع شرب الكثير من الماء ,"الاستخدام المطول للقسطرة البولية ، داءالسكري خاصة إذا كان التحكم فيه ضعيفًا مما قد يسهل دخول البكتيريا إلى المثانة"
التهابات المسالك البولية, قشعريرة وتقيؤ,سيفكسين (كيفلكس) ٢٥٠ مجم مرتين أو أربع مرات يوميًا الاريثروميسين ٢٥٠ إلى ٥٠٠ مجم أربع مرات يوميًانيتروفيورانتوين (ماكرودانتين) ٥٠إلى١٠٠مجم أربع مرات يوميًا حمض أموكسيسيلين-كلافولانيك (زيادة) ٢٥٠ ملغ أربع مرات يومياًفوسفوميسين (مونورول) كيس واحد ٣ غ مع شرب الكثير من الماء ,الحمل  وتراكم البول بشكل غير طبيعي منذ الولادةالتهابات المسالك البولية
التهابات المسالك البولية, التجشؤ وفقدان الشهية,سيفكسين (كيفلكس) ٢٥٠ مجم مرتين أو أربع مرات يوميًا الاريثروميسين ٢٥٠ إلى ٥٠٠ مجم أربع مرات يوميًانيتروفيورانتوين (ماكرودانتين) ٥٠إلى١٠٠مجم أربع مرات يوميًا حمض أموكسيسيلين-كلافولانيك (زيادة) ٢٥٠ ملغ أربع مرات يومياًفوسفوميسين (مونورول) كيس واحد ٣ غ مع شرب الكثير من الماء ,ضعف جهاز المناعة
فقر الدم الخبيث,الانتفاخ  وعسر الهضم,ميكروجرام (١ مجم) من فيتامين ب ١٢ كل يوم لمدة أسبوع واحد وتناول اللحوم والأسماك والدواجن والحليب,عملية المناعة الذاتية التي تهاجم بروتين أي.اف وتخفض مستويات بروتين-أي.اف في إفرازات المعدة
فقر الدم الخبيث,أعراض الالتهاب الرئوي فجأة على مدى ٢٤ إلى ٤٨ ساعة أو قد تظهر ببطء أكثر على مدى عدة أيام مصطحبة بسعال جافًا أو ينتج مخاطًا سميكًا أصفر أو أخضر أو ​​بني أو ملطخ بالدم (بلغم),ميكروجرام (١ مجم) من فيتامين ب ١٢ كل يوم لمدة أسبوع واحد وتناول اللحوم والأسماك والدواجن والحليب,"   التهاب الشعب الهوائية أو انتفاخ الرئة ، التهاب المعدة الضموري المزمن"
